waste_type,total_generate_1k_tonnes,total_recycled_1k_tonnes,year,total_not_recycled_1k_tonnes
Plastics,740,78,2010,662
Construction & Demolition,922,912,2010,10
Wood/Timber,270,190,2010,80
Horticultural,251,99,2010,152
Ferrous Metals,1195,1128,2010,67
Non-Ferrous Metals,86,73,2010,13
Used Slag,383,379,2010,4
Glass,80,19,2010,61
Textile/Leather,121,15,2010,106
Scrap Tyres,24,20,2010,4
"Others (stones, ceramic, rubber, ect)",307,4,2010,303
Overall,6517,3758,2010,2759
Food,606,77,2009,529
Paper/Cardboard,1201,574,2009,627
Plastics,689,60,2009,629
Construction & Demolition,1176,1151,2009,25
Wood/Timber,288,207,2009,81
Horticultural,238,94,2009,144
Ferrous Metals,872,806,2009,66
Non-Ferrous Metals,58,48,2009,10
Used Slag,422,419,2009,3
Glass,73,16,2009,57
Textile/Leather,109,13,2009,96
Scrap Tyres,23,19,2009,4
"Others (stones, ceramic, rubber, ect)",271,3,2009,268
Overall,6114,3485,2009,2629
Food,568,68,2008,500
Paper/Cardboard,1263,609,2008,654
Plastics,684,61,2008,623
Construction & Demolition,922,900,2008,22
Wood/Timber,270,190,2008,80
Horticultural,229,96,2008,133
Ferrous Metals,785,735,2008,50
Non-Ferrous Metals,85,72,2008,13
Used Slag,566,561,2008,5
Glass,57,10,2008,47
Textile/Leather,93,11,2008,82
Scrap Tyres,25,22,2008,3
"Others (stones, ceramic, rubber, ect)",308,8,2008,300
Overall,5970,3343,2008,2627
Food,559,51,2007,508
Paper/Cardboard,1203,619,2007,584
Plastics,660,75,2007,585
Construction & Demolition,778,759,2007,19
Wood/Timber,246,128,2007,118
Horticultural,225,91,2007,134
Ferrous Metals,737,668,2007,69
Non-Ferrous Metals,92,76,2007,16
Used Slag,527,520,2007,7
Glass,65,6,2007,59
Textile/Leather,110,6,2007,104
Scrap Tyres,26,22,2007,4
"Others (stones, ceramic, rubber, ect)",249,14,2007,235
Overall,5601,3035,2007,2566
Food,543,45,2006,498
Paper/Cardboard,1116,571,2006,545
Plastics,657,78,2006,579
Construction & Demolition,619,604,2006,15
Wood/Timber,224,82,2006,142
Horticultural,231,87,2006,144
Ferrous Metals,726,657,2006,69
Non-Ferrous Metals,87,71,2006,16
Used Slag,471,417,2006,54
Glass,63,6,2006,57
Textile/Leather,92,4,2006,88
Scrap Tyres,24,19,2006,5
"Others (stones, ceramic, rubber, ect)",242,15,2006,227
Overall,5221,2657,2006,2564
Food,532,37,2005,495
Paper/Cardboard,1099,541,2005,558
Plastics,675,86,2005,589
Construction & Demolition,493,465,2005,28
Wood/Timber,239,90,2005,149
Horticultural,200,101,2005,99
Ferrous Metals,818,749,2005,69
Non-Ferrous Metals,89,75,2005,14
Used Slag,382,299,2005,83
Glass,63,4,2005,59
Textile/Leather,89,4,2005,85
Scrap Tyres,17,11,2005,6
"Others (stones, ceramic, rubber, ect)",225,9,2005,216
Overall,5018,2469,2005,2549
Food,531,31,2004,500
Paper/Cardboard,1132,520,2004,612
Plastics,683,74,2004,609
Construction & Demolition,509,471,2004,38
Wood/Timber,222,74,2004,148
Horticultural,227,128,2004,99
Ferrous Metals,720,650,2004,70
Non-Ferrous Metals,87,72,2004,15
Used Slag,267,260,2004,7
Glass,74,5,2004,69
Textile/Leather,115,5,2004,110
Scrap Tyres,15,7,2004,8
"Others (stones, ceramic, rubber, ect)",114,11,2004,103
Overall,4790,2307,2004,2483
Food,548,33,2003,515
Paper/Cardboard,1085,466,2003,619
Plastics,580,39,2003,541
Construction & Demolition,423,398,2003,25
Wood/Timber,213,41,2003,172
Horticultural,305,119,2003,186
Ferrous Metals,857,799,2003,58
Non-Ferrous Metals,94,76,2003,18
Used Slag,260,239,2003,21
Glass,66,6,2003,60
Textile/Leather,92,1,2003,91
Scrap Tyres,14,6,2003,8
"Others (stones, ceramic, rubber, ect)",104,0,2003,104
Overall,4728,2223,2003,2505
Construction & Demolition,1609,1600,2017,9
Ferrous Metals,1379,1371,2017,8
Used slag,273,269,2017,4
Non-Ferrous Metals,94,92,2017,2
Scrap Tyres,36,33,2017,3
Wood/Timber,424,327,2017,97
Horticultural,328,221,2017,107
Paper/Cardboard,1145,569,2017,576
Glass,71,12,2017,59
Food,810,133,2017,677
Plastics,815,52,2017,763
Textile/Leather,151,10,2017,141
"Others (stones, ceramic, rubber, ect)",326,7,2017,319
Overall,7704,4724,2017,2980
